"","full_text","doc_id"
"1","Unbelievable. No action to be taken over monkey noises and ""Vinicius you're a monkey"" chants by Madrid prosecutor. They acknowledge that such actions were ""unpleasant and disrespectful"" but reminds us ""they only lasted a few seconds"" and were ""in the context of football rivalry."" https://t.co/J0bdvORBlH",1
"2","Tim Cook is Xi Jinping’s circus monkey. I hope the same isn’t true of Elon too, but I give blind allegiance to no one: very disappointed in his comments calling in Taiwan to annex itself to China. https://t.co/OAFvrB0ZHj",2
"3","""A monkey had electrodes implanted into its brain, then was overcome with vomiting, retching  &amp; gasping. Days later the animal appeared to collapse from exhaustion &amp; was euthanized. An autopsy then showed the monkey had suffered from a brain hemorrhage."" https://t.co/s6Ena77mnV",3
"4","Just made another sale! Addicted spank monkey https://t.co/oy6Ga0b94H #MVSales https://t.co/MLoaF2c5kE",4
"5","RT @buitengebieden: Golden snub-nosed monkey enjoying an orange to the fullest.. 😊 https://t.co/KyC0Xek2Hx",5
"6","RT @onepiecepanel: Monkey D. Luffy https://t.co/eeZS4pjF33",6
"7","RT @buitengebieden: Golden snub-nosed monkey enjoying an orange to the fullest.. 😊 https://t.co/KyC0Xek2Hx",7
"8","RT @buitengebieden: Golden snub-nosed monkey enjoying an orange to the fullest.. 😊 https://t.co/KyC0Xek2Hx",8
"9","RT @MKslotfree2: 🔴 Twitter Wallet Plus+ 🔴
🎊 แจกเครดิต ฉลองเปิดใหม่!! 🎊

MKTWITTERFREEPLUS503JFU0029
MKTWITTERFREEPLUS50O0B2K6GG
MKTWITTERFR…",9
"10","RT @mscalciumcannon: MONKEY MONDAY THREAD 🧵 Drop those monkeys below! RT for exposure and FOLLOW me for more threads! https://t.co/ecJZv4PJ…",10
"11","RT @Nomannaw: ในขณะที่พ่อขึ้นไปร้องเพลงบนเวที แม่ก็นั่งเลี้ยงลูกอยู่ข้างหลังเวที ครอบครัวนี้อบอุ่นจัง🥹 https://t.co/3pRU5mXW3m",11
"12","RT @Guizezette: @Inoxtag @RebeuDeter Monkey.D.Ludwig https://t.co/TfvUyg487N",12
"13","@KnabeXX 自分もテンション上がってますw",13
"14","@Monkey_D_Selim @AAKAGAMI_OP Oui c'est vrai
 quand je dit le moin utile , c'est en général 
Sanji le cuisto Nami la navigatrice chopper le médecin Franky le mécano etc....
Quoi que brook c pas fou fou",14
"15","Good job #FIFA good effort, you corrupt pile of monkey shit. https://t.co/sefvyj1tAY",15
"16","ほぉ…",16
"17","#全部ロナウドのせい https://t.co/0FrjUaymtU",17
"18","@JusCallMeChico_ She definitely called her a monkey too lmaoooooo",18
"19","@zu_zhui @AppleTung2 喝到monkey",19
"20","RT @onepiecepanel: Monkey D. Luffy https://t.co/eeZS4pjF33",20
"21","RT @taewiiboo: พริก10เม็ด ยังไม่เผ็ดเท่าพี่เลย 😳😳🔥🔥🔥🔥 #อิงฟ้ามหาชน #อิงล็อต #มิสแกรนด์xระเบียบวาทะศิลป์DAY3 https://t.co/ndOn1SM4JQ",21
